NIK,Nama,Tempat Lahir,Tanggal Lahir,Jenis Kelamin,Gol. Darah,Alamat,RT/RW,Kel/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga
2323272105638184,Herman Saputra,Balikpapan,21-05-1963,Laki-Laki,B,Jalan Diponegoro No.16,07/10,Mekarjaya,Beji,Katolik,Kawin,Karyawan Honorer,WNI,Seumur Hidup
1466786303036327,Putri Sutrisno,Kutai Barat,23-03-2003,Perempuan,O,Jalan Thamrin No.91,15/03,Sukamaju,Kemayoran,Katolik,Kawin,Karyawan Honorer,WNI,Seumur Hidup
2189435012633913,Zahra Sutrisno,Jakarta Barat,10-12-1963,Perempuan,A,Jalan Diponegoro No.169,11/18,Desakota,Cengkareng,Konghucu,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
1548390910886672,Ahmad Wibowo,Bogor,09-10-1988,Laki-Laki,AB,Jalan Gajah Mada No.139,14/08,Kebon Kacang,Kemayoran,Buddha,Cerai Hidup,Guru,WNI,Seumur Hidup
1342656211035042,Indah Setiawan,Singaraja,22-11-2003,Perempuan,B,Jalan Thamrin No.116,06/05,Sindangsari,Pancoran Mas,Katolik,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
3060566201759452,Zahra Sutrisno,Bukittinggi,22-01-1975,Perempuan,O,Jalan Merdeka No.30,01/11,Mekarjaya,Sukajaya,Islam,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
1369040102700089,Herman Wibowo,Jakarta Timur,01-02-1970,Laki-Laki,AB,Jalan Sudirman No.123,20/06,Karanganyar,Cengkareng,Islam,Belum Kawin,Buruh,WNI,Seumur Hidup
1675161912570638,Herman Setiawan,Bandung,19-12-1957,Laki-Laki,B,Jalan Sudirman No.154,20/09,Tanjungsari,Cilandak,Konghucu,Cerai Hidup,Wartawan,WNI,Seumur Hidup
4130776405567698,Dewi Sutrisno,Dumai,24-05-1956,Perempuan,B,Jalan Merdeka No.179,08/23,Kebon Kacang,Sukmajaya,Konghucu,Cerai Hidup,Buruh,WNI,Seumur Hidup
2181195003510699,Dwi Wijaya,Bekasi,10-03-1951,Perempuan,O,Jalan Sudirman No.193,03/17,Sukamaju,Sukmajaya,Katolik,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
